name,address,city,telephone1,url,fax,telephone2
Paul's Restaurant,4621 Hastings, Burnaby,604 298-6905,nil,nil,nil,
Peaceful Restaurant,110-532 W Broadway, Vancouver,604 879-9878,nil,nil,nil,
Pho Kim Penh Xe Lua Restaurant,540 W Broadway, Vancouver,604 877-1120,nil,nil,nil,
Pita Pit,995 Granville St, Vancouver,604 681-7482,nil,nil,nil,
Peaceful Restaurant ,630 Davie St, Vancouver,604 488-0399,nil,nil,nil,
Pho Lan Beef Noodle Soup Restaurant,6950 No. 3 Rd, Richmond,604 273-1583,nil,nil,nil,
Pita Pit,485-8040 Garden City, Richmond,604 244-7482,nil,nil,nil,
Provence Mediterranean Grill,100-4473 W 10th Ave, Vancouver,604 222-1980,nil,nil,nil,
Public Lounge,3289 Main St, Vancouver,604 873-5584,nil,nil,nil,
Peach Tree Pantry,170-10760 Shellbridge Way, Richmond,604 276-2656,nil,nil,nil,
Pho Long Restaurant,3370 Fraser St, Vancouver,604 872-2879,nil,604 484-2099,nil,
Pita Wrap Cafe,565 Dunsmuir St, Vancouver,604 681-7634,nil,nil,nil,
Punet Gas & Restaurant,7389 River Rd, Ladner,604 940-2003,nil,nil,nil,
Peanut Holdings,2130-8260 Westminster Hwy, Richmond,604 278-9372,nil,nil,nil,
Pittsburg Restaurant,1687-4500 Kingsway, Burnaby,604 677-1740,nil,nil,nil,
Purple Lotus Restaurant,609 12th St, New Westminster,604 525-1238,nil,nil,nil,
The Pear Tree,4120 Hastings, Burnaby,604 299-2772,nil,nil,nil,
Pho 993 Restaurant,2070 Marine, North Vancouver,604 985-3993,nil,nil,604 988-3993,
Pizza Hut,2850 Grandview Hwy, Vancouver,604 434-3420,nil,nil,nil,
Pizza Hut,4775 Hastings, Burnaby,604 299-0334,nil,nil,nil,
Pearl Castle Cafe,1128-3779 Sexsmith, Richmond,604 270-3939,nil,nil,nil,
Pyrgos Taverna,22570 Lougheed Hwy, Maple Ridge,604 467-2767,nil,nil,nil,
Pearl Hot Pot,7154 Sperling Ave, Burnaby,604 516-0238,nil,nil,nil,
Q4,2611 W 4th Ave, Vancouver,604 734-4444,nil,nil,nil,
Pearl House Restaurant, Burnaby,7152 Sperling Ave, Vancouver,604 522-3177,nil,nil,nil,
Pearl on the Rock Restaurant,14955 Marine, White Rock,604 542-1064,nil,nil,nil,
Pho 99,60-2991 Lougheed Hwy, Coquitlam,604 472-1299,nil,nil,nil,
Pho 99 Restaurant,19533 Fraser Hwy, Surrey,604 534-2699,nil,nil,nil,
The Pizza King,1464 E Broadway, Vancouver,604 875-1254,nil,nil,nil,
Pizza One,103-2733 Barnet Hwy, Coquitlam,604 464-1000,nil,nil,nil,
Pizza Plus,6262 Fraser St, Vancouver,604 566-9191,nil,nil,nil,
Quantum Cafe Bistro,41 Sixth St, New Westminster,778 397-0830,nil,nil,778 397-0866,
Peek Restaurant,2210 Cornwall Ave, Vancouver,604 734-3589,nil,nil,nil,
Pho Noodle House,170-8611 Alexandra, Richmond,604 278-6363,nil,nil,nil,
Pho Number One ,1120 Denman St, Vancouver,604 662-8303,nil,nil,nil,
Pizza 76 & Curry House,1058-7638 Anvil Way, Surrey,604 502-7827,nil,nil,nil,
Quattro Restaurants,1 Lonsdale, North Vancouver,604 924-4444,nil,nil,nil,
Peking Restaurant,5939 Hastings St, Burnaby,604 291-8644,nil,nil,604 299-2526,
Pizza World Restaurant,101-17767 64 Ave, Surrey,778 574-6700,nil,nil,nil,
Que Pasa Mexican Foods,12031 No. 5 Rd, Richmond,604 241-8175,nil,nil,nil,
Pho Phu Thinh Restaurant,360-1175 Johnson St, Coquitlam,604 468-8686,nil,nil,nil,
Pizzaria Expresso,232 E Broadway, Vancouver,604 877-8888,nil,nil,nil,
Queen Bee Restaurant,4093 No. 5 Rd, Richmond,604 278-2449,nil,604 278-2417,nil,
Pelagos Greek Restaurant,2728 O'Hara Lane, Surrey,604 538-6102,nil,nil,nil,
Pelican Seafood Restaurant,1895 E Hastings St, Vancouver,604 251-3395,nil,nil,nil,
Penang Delight Cafe,3885 Rupert St, Vancouver,604 566-9899,nil,nil,604 566-9898,
Penang Szechuan Cuisine,15228 Russell, White Rock,604 538-1700,nil,nil,nil,
Pho Queen Restaurant,1318-8368 Capstan Way, Richmond,604 233-1391,nil,nil,nil,
Pho Quyen Restaurant,3916 Fraser St, Vancouver,604 873-3638,nil,nil,nil,
Pho Restaurant,302-403 North Rd, Coquitlam,604 939-2288,nil,nil,nil,
Pho Royal Restaurant,1-1855 Burrard St, Vancouver,604 732-7457,nil,nil,nil,
The Place Restaurant,8028 Granville St, Vancouver,604 261-3948,nil,nil,nil,
Planet India Restaurant,17-13775 72 Ave, Surrey,604 594-6075,nil,nil,nil,
Planet Java Fifties Cafe,9178 Glover, Langley,604 882-5093,nil,nil,nil,
Planet Veg Restaurant,1941 Cornwall, Vancouver,604 734-1001,nil,nil,nil,
Queens Park Chinese Restaurant,4818 Main St, Vancouver,604 872-0868,nil,nil,nil,
Quick Bite Restaurant,665 S E Marine Dr, Vancouver,604 323-2332,nil,nil,nil,
Quiznos,5-228 Schoolhouse, Coquitlam,604 515-1100,nil,nil,nil,
Penny Restaurant,2060 E Hastings St, Vancouver,604 253-2442,nil,nil,604 258-4128,
Pho Sen Restaurant,112-3030 Lincoln, Coquitlam,604 945-1998,nil,nil,nil,
Players Chop House,808 Beatty St, Vancouver,604 694-2467,nil,nil,nil,
Po King Seafood Restaurant,150-5665 Kingsway, Burnaby,604 436-2986,nil,nil,nil,
Quiznos,A-12815 96 Ave, Surrey,604 588-9661,nil,nil,nil,
Quizno's,2958 W Broadway, Vancouver,604 738-9683,nil,nil,nil,
Quiznos Boardwak Plaza,A4-10160 152 St, Surrey,604 583-0854,nil,nil,nil,
Pep' N Chilli Restaurant,301-1638 E Broadway, Vancouver,604 873-8393,nil,nil,nil,
Pepitas Restaurant,2nd Floor-2015 Burrard St,604 732-8884,nil,nil,nil,
Pepperoni Cafe,140-6388 120 St, Surrey,604 594-7777,nil,nil,nil,
Perfect Sport Cafe,105-1130 W Pender St,604 569-2122,nil,nil,nil,
Perfect 2 for 1 Pizza,102-15625 96 Ave, Surrey,604 582-0222,nil,nil,nil,
Pho Tan Vietnamese Restaurant,6516 Kingsway, Burnaby,778 397-3337,nil,nil,nil,
Pho 78 Vietnamese Restaurant,170-4351 No. 3 Rd, Richmond,604 278-7599,nil,nil,nil,
Pho T & A Vietnamese Restaurant,A-10675 King George Blvd, Surrey,778 395-3555,nil,nil,nil,
Pho Tam Restaurant,10-10302 135 St, Surrey,604 589-4223,nil,nil,nil,
Pho Tan Vietnamese Restaurant,4598 Main St, Vancouver,604 873-3345,nil,nil,nil,
Pho Tan Vietnamese  Restaurant,6516 Kingsway, Burnaby,778 397-3337,nil,nil,nil,
Po Kong Vegetarian Restaurant,1334 Kingsway, Vancouver,604 876-3088,nil,nil,nil,
Poco Donair,1048-1475 Prairie, Port Coquitlam,778 216-0221,nil,nil,nil,
Poco Ocean Restaurant,2755 Lougheed Hwy, Port Coquitlam,604 464-4325,nil,nil,nil,
Pocos Cafe,2865 Shaughnessy St, Port Coquitlam,604 941-6121,nil,nil,nil,
Quiznos Classic Subs,1408 Marine Dr, West Vancouver,604 913-1495,nil,nil,nil,
Quizno's,105-13988 Maycrest Way, Richmond,604 303-9880,nil,nil,nil,
Quiznos Restaurant,201-1199 Lynn Valley, North Vancouver,604 988-8208,nil,nil,nil,
Quiznos Sub,2580 Commercial Dr, Vancouver,604 872-8097,nil,nil,nil,
The Point Restaurant & Tapas,100-3131 Chatham, Richmond,604 277-7118,nil,nil,nil,
Persepolis Restaurant & Lounge,112 13th St W, North Vancouver,604 960-1015,nil,nil,nil,
Phen Phen Filipino Restaurant,288 E Pender St, Vancouver,604 681-6988,nil,nil,nil,
Pho Thai Hoa Restaurant,1625 Kingsway, Vancouver,604 873-2348,nil,nil,nil,
Pho Thai Hoa Restaurant,3524 Kingsway, Vancouver,604 568-8884,nil,nil,nil,
Pho Thanh Hong,3883 Rupert St, Vancouver,604 438-1591,nil,nil,nil,
Pho Toan Thang,106-1125 Nicola, Port Coquitlam,604 464-1280,nil,nil,nil,
Point Zero Lounge & Restaurant,1149 Granville St, Vancouver,604 440-1149,nil,nil,nil,
Pojang Macha,595 Broadway E, Vancouver,604 569-0852,nil,nil,nil,
Poncho's Mexican Restaurant,827 Denman St, Vancouver,604 683-7236,nil,nil,nil,
Quizno's Sub,2121-2850 Shaughnessy, Port Coquitlam,604 552-2244,nil,nil,nil,
Quizno's Sub,225-4567 Lougheed Hwy, Burnaby,604 299-4734,nil,nil,nil,
Quizno's Sub Murrayville,103-22259 48 Ave, Langley,604 530-6606,nil,604 530-6614,nil,
Quizno's Subs,14877 108 Ave, Surrey,604 585-3063,nil,nil,nil,
Phen Phen Restaurant,288 E Pender St, Vancouver,604 568-9608,nil,nil,nil,
Pho 24 Express,7-4250 Kingsway, Burnaby,604 568-9185,nil,nil,nil,
Quizno's Subs,1965 Cornwall Ave, Vancouver,604 734-6969,nil,nil,nil,
Phnom Penh Restaurant,244 E Georgia St, Vancouver,604 682-5777,nil,nil,604 734-8898,
Pho Cang Restaurant,A-10671 King George Blvd, Surrey,604 496-5128,nil,nil,nil,
Pho Cao Van Vietnamese Beef Noodle Soup,150-8191 Saba Rd, Richmond,604 231-0750,nil,nil,nil,
Pho Viet Holdings,110-8291 Westminster Hwy, Richmond,604 273-6399,nil,nil,nil,
Phoenix Garden Restaurant,2425 Nanaimo St, Vancouver,604 568-8268,nil,nil,nil,
Photau Bay Restaurant,5790 203 St, Langley,604 533-6938,nil,nil,nil,
Pondok Indonesia Restaurant,202-950 W Broadway, Vancouver,604 872-8718,nil,nil,604 732-7608,
Port Moody Dairy Queen,3141 St. Johns St, Port Moody,604 461-1411,nil,nil,nil,
Quizno's Subs,720 W Broadway, Vancouver,604 877-1136,nil,nil,nil,
Quizno's Subs,8651 120 St, Delta,604 599-8433,nil,nil,nil,
Quizno's Subs,1596 Lonsdale, North Vancouver,604 990-6929,nil,nil,nil,
Quizno's Subs,155-3675 Westminster Hwy, Richmond,604 207-0842,nil,nil,nil,
Quizno's Subs,22367 Lougheed Hwy, Maple Ridge,604 467-3334,nil,604 467-3345,nil,
Quizno's Subs,400-2325 Ottawa, Port Coquitlam,604 941-6112,nil,nil,nil,
Phuong Anh,3916 Main St, Vancouver,604 876-9892,nil,nil,nil,
Porter's Coffee & Tea House,21611 48 Ave, Langley,604 530-5297,nil,nil,nil,
Quizno's Subs by Chapters,A-20555 Langley Bypass, Langley,604 530-9911,nil,nil,604 530-6601,
Pho Chung Nam Restaurant,522 Sixth Ave, New Westminster,604 540-1388,nil,nil,nil,
Pho Cilantro Restaurant,4197 Fraser St, Vancouver,604 558-4662,nil,nil,nil,
Pho Duy Restaurant,1996 Kingsway, Vancouver,604 875-9740,nil,nil,nil,
Piccolo Cafe,105 2nd St E, North Vancouver,778 340-7766,nil,nil,nil,
Pick & Chews,407A-1055 Dunsmuir St, Vancouver,604 688-9133,nil,nil,nil,
Pick & Choose,144-1711 152 St, Surrey,604 535-9956,nil,nil,nil,
Pier 73 Restaurant,3500 Cessna Dr, Richmond,604 276-1954,nil,nil,nil,
Portobello Ristorante,1429 W Broadway, Vancouver,604 734-0697,nil,nil,nil,
Pourhouse Restaurant,162 Water St, Vancouver,604 568-7022,nil,nil,nil,
Quizno's Subs,10255 King George Hwy, Surrey,604 581-7827,nil,nil,nil,
Pho English Restaurant,382 W Broadway, Vancouver,604 568-6699,nil,604 568-6637,nil,
Pierside Deli,115-3800 Bayview, Richmond,604 448-0071,nil,nil,nil,
Prado Cafe,1938 Commercial Dr, Vancouver,604 255-5537,nil,nil,nil,
Pho Express Ankor Noodle House,1745 Robson St, Vancouver,604 689-8399,nil,nil,nil,
Pho Goodness,1183 Davie St, Vancouver,604 568-3253,nil,nil,nil,
Pho Han Restaurant,110-9020 Capstan Way, Richmond,604 284-5589,nil,nil,nil,
Pineway Restaurant,103-1755 W Broadway, Vancouver,604 733-4133,nil,nil,nil,
Pink Elephant Thai Restaurant,1152 Alberni St, Vancouver,604 646-8899,nil,nil,nil,
Pink Pearl Chinese Seafood Restaurant,1132 E Hastings St, Vancouver,604 253-4316,nil,nil,nil,
Pink Peppercorn Seafood & Steak House,1485 Kingsway, Vancouver,604 569-3626,nil,nil,nil,
Prairie Cafe,15280 Fraser Hwy, Surrey,604 588-6185,nil,nil,nil,
Presto Cucina,2655 King George Blvd, Surrey,604 531-7300,nil,nil,nil,
West Vancouver,1746 Marine, West Vancouver,604 925-2229,nil,604 925-2236,nil,
Pretzelmaker,715-9855 Austin, Burnaby,604 421-8425,nil,nil,nil,
Quizno's Classic Subs,1150 Davie St, Vancouver,604 899-4000,nil,nil,nil,
Quizno's Classic Subs,2Fc-701 W Georgia St, Vancouver,604 682-0558,nil,604 682-0549,nil,
Quizno's Classic Subs,110-1050 W Pender, Vancouver,604 801-6678,nil,604 801-6679,nil,
Quizno's Classic Subs,206 Davie St, Vancouver,604 647-0123,nil,nil,nil,
Quizno's Classic Subs,1011 W 49th, Vancouver,604 263-3555,nil,nil,nil,
Pinpin Restaurant,6113 Fraser St, Vancouver,604 322-3086,nil,nil,nil,
Prime Donair,30-20631 Fraser Hwy, Langley,604 510-5150,nil,nil,nil,
Quizno's Classic Subs,508 Abbott St, Vancouver,604 915-7357,nil,nil,nil,
Pho Hoa Restaurant,2257 Kingsway, Vancouver,604 432-6022,nil,nil,nil,
Pho Hoa Restaurant,5505 Kingsway, Burnaby,604 436-0001,nil,nil,nil,
Pisces Fish & Chips,205-1425 Marine, West Vancouver,604 926-8664,nil,nil,nil,
Quizno's Classic Subs,Q-435 North, Coquitlam,604 931-6352,nil,nil,nil,
Quizno's Classic Subs,1208-1163 Pinetree Way, Coquitlam,604 945-5777,nil,nil,nil,
Pho Hoa Restaurant,1150 Austin, Coquitlam,604 939-3373,nil,nil,nil,
Miya Japanese Restaurant,360-1175 Johnson St, Coquitlam,604 468-8611,nil,nil,nil,
Pisces Fish & Chips & Indian Cuisine,115-3675 Westminster Hwy, Richmond,604 304-0275,nil,nil,nil,
Quizno's Classic Subs,15-7355 72 St, Ladner,604 946-0024,nil,nil,nil,
Primerose Bar & Grill,220-6165 Highway 17, Ladner,604 940-0200,nil,nil,nil,
Quizno's Classic Subs,5168A Ladner Trunk, Ladner,604 940-4886,nil,nil,nil,
Pita Express,200 Burrard St, Vancouver,604 681-4848,nil,nil,nil,
Quizno's Classic Subs,1386 Main, North Vancouver,604 988-3161,nil,nil,nil,
Pho Hoa Restaurant,750-3025 Lougheed Hwy, Coquitlam,604 945-9285,nil,nil,nil,
Pita Feast,123 Carrie Cates Court, Vancouver,604 980-1817,nil,nil,nil,
Primo's on 12th,1509 W 12th Ave, Vancouver,604 736-9322,nil,nil,nil,
Quizno's Classic Subs,20633 Fraser Hwy, Langley,604 530-8881,nil,nil,nil,
Pita Fresh Greek & Medite,103-757 W Hastings St, Vancouver,604 689-8025,nil,nil,nil,
The Prince Cafe,3124 W Broadway, Vancouver,604 738-6977,nil,nil,nil,
Quizno's Classic Subs,1540-6551 No. 3 Rd, Richmond,604 233-0141,nil,604 233-0142,nil,
Pho Hoa Restaurant,1BO-8500 Alexandra, Richmond,604 270-2827,nil,nil,nil,
Pho Hoa Restaurant,102-14357 104 Ave, Surrey,604 581-3289,nil,nil,nil,
Pho Hoang Vietnamese Restaurant,3388 Main St, Vancouver,604 874-0832,nil,nil,nil,
Pho Hong Restaurant,6348 Fraser St, Vancouver,604 327-6348,nil,nil,nil,
Pita House Restaurant,6196 Fraser St, Vancouver,604 321-22SO,nil,nil,nil,
Pita King,732-4567 Lougheed Hwy, Burnaby,604 205-9313,nil,nil,nil,
Pita King,601 Expo Blvd, Vancouver,604 682-8867,nil,nil,nil,
Prince Restaurant,2881 Grandview Hwy, Vancouver,604 430-6808,nil,nil,nil,
Quizno's Classic Subs,3130-11666 Steveston Hwy, Richmond,604 272-5072,nil,nil,nil,
Quizno's Classic Subs,2002 Park Royal S, West Vancouver,604 925-4546,nil,604 925-4528,nil,
R & H Chinese Food,1065-5300 No. 3 Rd, Richmond,778 297-5668,nil,nil,nil,
Raga Restaurant,1177 W Broadway, Vancouver,604 733-1127,nil,nil,nil,
The Red Wagon Cafe,2296 Hastings St E, Vancouver,604 568-4565,nil,nil,nil,
The Refinery,1115 Granville St, Vancouver,604 687-8001,nil,nil,nil,
Rehanah's Roti Trinidadian food,2518 St. Johns St, Port Moody,604 936-1969,nil,nil,nil,
Relish The Restaurant,G3-888 Nelson St, Vancouver,604 669-1962,nil,604 669-1950,nil,
Renaissance Ventures,8906 University High, Burnaby,604 205-5854,nil,nil,nil,
The Roc Seafood Restaurant,8160 Cambie St, Vancouver,604 325-1717,nil,604 325-9418,604 327-2616,
Rockford Wok Bar & Grill,1493 Marine, North Vancouver,604 904-1222,nil,604 904-1202,nil,
Rockford Wok Bar & Grill,19777 Willowbrook, Langley,604 539-1170,nil,604 539-1172,nil,
S & W Pepper House,1812-4500 Kingsway, Burnaby,604 451-3916,nil,nil,nil,
Sabai Thai Restaurant,10391 150 St, Surrey,604 588-9819,nil,nil,nil,
Sabatino's Trattoria,950-15355 24 Ave, Surrey,604 542-5989,nil,nil,nil,
Sachdeva Sweets & Restaurant,118-7500 120 St, Surrey,604 591-6788,nil,nil,nil,
Safari Snack House,5121 Canada Way, Burnaby,604 759-0044,nil,nil,604 515-9211,
Rockwell Bar & Grill,102-17530 64 Ave, Surrey,778 574-0301,nil,nil,nil,
Raglan's Bistro,15 Lonsdale Ave, North Vancouver,604 988-8203,nil,nil,nil,
Reno Restaurant,151 E Broadway, Vancouver,604 876-1119,nil,nil,nil,
Railway Cafe,1-13375 115 Ave Surrey, Surrey,604 588-8410,nil,nil,nil,
Resty's Cafe,8542 Granville St, Vancouver,604 266-0633,nil,nil,nil,
Revel Room Restaurant & Lounge,238 Abbott St, Vancouver,604 687-4088,nil,nil,nil,
Rockwell's Bar & Grill,319 North Rd, Coquitlam,604 931-1262,nil,nil,nil,
Rainbow Butterfly Restaurant,1-2850 Oxford, Port Coquitlam,604 944-3888,nil,nil,nil,
Rex Restaurant,20248 Fraser Hwy, Langley,604 534-2298,nil,nil,nil,
Rocky Mountain Flatbread,1876 W 1st Ave, Vancouver,604 730-0321,nil,604 436-5559,nil,
Raincity Grill,1193 Denman, Vancouver,604 685-7337,nil,604 685-7362,nil,
Rhino Kitchen,322-5300 No. 3 Rd, Richmond,604 273-0022,nil,nil,nil,
Rocky Point Cafe,2709-2701 Clarke St, Port Moody,778 355-2228,nil,nil,nil,
Sagres Restaurant,100-22550 Dewdney Trunk, Maple Ridge,604 466-5330,nil,nil,nil,
Rice & Spice Restaurant,883 Hamilton St, Vancouver,604 568-4446,nil,nil,nil,
Rodney's Oyster House,405-1228 Hamilton St, Vancouver,604 609-0080,nil,nil,nil,
Raja Sweets & Restaurant,107-7028 120 St, Surrey,604 590-8821,nil,nil,nil,
Rodos Kouzina Mediterranean Grille,100-221 Ioco Rd, Port Moody,604 469-1150,nil,nil,nil,
Saigon Pacific Restaurant,1481 W Broadway, Vancouver,604 738-2338,nil,nil,nil,
Rajmahal Mutti Restaurant,9587 128 St, Surrey,604 582-9494,nil,nil,nil,
Raku Raku Family Restaurant,1126 Austin, Coquitlam,604 939-4000,nil,nil,nil,
Rice & Spice Restaurant,218-1055 Georgia St W, Vancouver,604 683-3143,nil,nil,nil,
Richmond House of Tofu Soup,1110-4651 Garden City Rd, Richmond,604 284-5620,nil,nil,nil,
Richmond Japanese Sushi,1488-8388 Capstan Way, Richmond,604 207-7799,nil,nil,nil,
Rogue Kitchen & Wet Bar,601 W Cordova St, Vancouver,604 678-8000,nil,nil,nil,
Rokko Japanese Gourmet,120-8952 152 St, Surrey,604 589-1141,nil,nil,nil,
Saigon Venture Restaurant,1310 Burrard St, Vancouver,604 605-8908,nil,nil,nil,
Saint St Grill,2514 St. Johns St, Port Moody,604 937-7477,nil,nil,nil,
Ramen Jinya,270 Robson St, Vancouver,604 568-9711,nil,nil,nil,
Ramies Greek Restaurant,9-4287 Kingsway, Burnaby,604 454-0199,nil,nil,nil,
Roman Ristorante,106-3399 Kingsway, Vancouver,604 436-4748,nil,nil,nil,
Richmond Red Star Seafood Restaurant,2200-8181 Cambie Rd, Richmond,604 270-3003,nil,604 210-0300,nil,
Sake Maki,1414 Commercial Dr, Vancouver,604 568-3632,nil,nil,nil,
Sakura Ichiban,1405 Marine, West Vancouver,604 913-2322,nil,nil,nil,
Rasila Sweet & Restaurant,111-9547 152 St, Surrey,604 951-1777,nil,nil,nil,
Rasoee Indian Kitchen,104-2138 Western Pky, Vancouver,604 221-9355,nil,nil,nil,
Rasoee Indian Kitchen,1410-1030 W Georgia St, Vancouver,604 637-2885,nil,nil,nil,
Rasoi Restaurant,1-3268 King George Blvd, Surrey,604 536-4600,nil,nil,nil,
Red Burrito,1700 Commercial Dr, Vancouver,604 707-0877,nil,nil,nil,
Red Burrito,1230 Davie St, Vancouver,604 558-3778,nil,nil,nil,
Red Burrito,606 Robson St, Vancouver,604 676-0097,nil,nil,nil,
Red Burrito,1455 Lonsdale, North Vancouver,604 980-0980,nil,nil,nil,
Red Burrito,2192 Western Pky, Vancouver,604 569-1313,nil,nil,nil,
Red Chilli Szechuan Restaurant,741 Lonsdale, North Vancouver,604 986-2088,nil,nil,nil,
Red Door Pan Asian Grill,2996 Granville St, Vancouver,604 733-5699,nil,nil,nil,
Red Dot Cafe,113-401 W Georgia St, Vancouver,604 662-3717,nil,nil,nil,
Richport Chinese Restaurant,2-11600 Bridgeport, Richmond,604 279-9090,nil,nil,nil,
Rickshaw Chinese Food Whalley,10522 King George Hwy, Surrey,604 581-1161,nil,nil,nil,
Ricky's All Day Grill,5239 Ladner Trunk Rd, Ladner,604 940-0833,nil,nil,nil,
Ricky's All Day Grill,101-22314 Fraser Hwy, Langley,604 530-4317,nil,nil,nil,
Ricky's All Day Grill,101-20125 64 Ave, Langley,604 533-8911,nil,nil,nil,
Ricky's All Day Grill,8720 204th St, Langley,604 888-4211,nil,nil,nil,
Ricky's All Day Grill,1995 Lonsdale, North Vancouver,604 904-4430,nil,nil,nil,
Ricky's All Day Grill,490-9100 Blundell, Richmond,604 233-7705,nil,nil,nil,
Ricky's All Day Grill,8958 152 St, Surrey,604 581-3212,nil,nil,nil,
Ricky's All Day Grill,1-3189 King George Hwy, Surrey,604 535-1789,nil,nil,nil,
Ricky's All Day Grill,7135 120 St, Delta,604 599-1784,nil,nil,nil,
Ricky's All Day Grill,104-111 Dunsmuir St, Vancouver,604 602-9233,nil,nil,nil,
Romana Pizza & Steak House,4660 Hastings, Burnaby,604 298-7252,nil,604 298-0039,nil,
Romer's Burger Bar,8683 Kerr St, Vancouver,604 566-9544,nil,nil,604 566-9545,
Rong Rong Tea House,8-74 8th St, New Westminster,604 516-8207,nil,nil,nil,
Ronnie's Restaurant,6542 King George Hwy, Surrey,604 591-9848,nil,nil,nil,
Room Eighteen Restaurant,2042 W 4th Ave, Vancouver,604 739-4674,nil,nil,nil,
Rosa's Cucina ltaliana,2331 Clarke St, Port Moody,604 939-75OO,nil,nil,nil,
Rose Garden Restaurant,3415 Kingsway, Vancouver,604 451-8738,nil,nil,nil,
Rose Thai Restaurant,130-1425 Marine Dr, West Vancouver,604 925-0070,nil,nil,604 925-0071,
Rosie's Country Cafe,8-3033 King George Blvd, Surrey,604 538-4195,nil,nil,nil,
Rossini's Pasta Palazzo,1525 Yew St, Vancouver,604 737-8080,nil,604 737-8075,nil,
Sakura Sushi,20493 Fraser Hwy, Langley,604 532-0400,nil,nil,nil,
Sakura Sushi,4-6390 No. 3 Rd, Richmond,604 247-1662,nil,nil,nil,
Sakuya Japanese Restaurant,1593 128 St, Surrey,604 535-5082,nil,nil,nil,
Salad Loop,239-1055 Georgia St W, Vancouver,604 662-8525,nil,nil,nil,
Salad Loop,2-555 W Hastings St, Vancouver,604 408-1096,nil,nil,nil,
Salad Loop,13-1 Ferry Causeway, Tsawwassen,604 943-1911,nil,nil,nil,
Salad Loop,8738-680 Park Royal N, West Vancouver,604 913-8365,nil,nil,nil,
Salade de Fruits,1545 W 7th, Vancouver,604 714-5987,nil,nil,nil,
Salam Bombay Restaurant,217-755 Burrard St, Vancouver,604 681-6300,nil,nil,nil,
Salathai Thai Restaurant,102-888 Burrard St, Vancouver,604 683-7999,nil,nil,nil,
Salmon House On The Hill,2229 Folkestone Way, West Vancouver,604 926-3212,nil,nil,nil,
Salsa & Agave Mexican Grill,1223 Pacific Blvd, Vancouver,604 408-4228,nil,nil,nil,
Salsa & Agave Mexician Grill,1205 Pacific Blvd, Vancouver,604 899-4554,nil,nil,nil,
Salt & Pepper Grill,205 Kingsway, Vancouver,604 708-4400,nil,nil,nil,
Red Ginger Asian Cuisine,967 W Broadway, Vancouver,604 558-0888,nil,nil,nil,
Round-Up Cafe,10449 King George Blvd, Surrey,604 581-0337,nil,nil,nil,
Salt Tasting Room,45 Blood Alley Sq, Vancouver,604 633-1912,nil,nil,604 687-7281,
Red House Restaurant,105-8171 Alexandra, Richmond,604 231-9922,nil,nil,nil,
Riddim & Spice,1945 Commercial Dr, Vancouver,604 215-9252,nil,nil,nil,
Roundel Cafe,2465 E Hastings St, Vancouver,604 253-2522,nil,nil,nil,
Ridge Gardens Restaurant,3113 Arbutus St, Vancouver,604 736-5231,nil,nil,nil,
Rowan's Restaurant,2340 W 4th Ave, Vancouver,604 733-0330,nil,nil,nil,
The Red lion Bar & Grill,2427 Marine, West Vancouver,604 926-8838,nil,nil,nil,
The Red Onion Restaurant,2028 W 41st, Vancouver,604 263-0833,nil,nil,nil,
Red Persimmon Taiwanese Cuisine,2133-4500 Kingsway, Burnaby,604 433-2690,nil,nil,nil,
Red Robin,200-1001 W Broadway, Vancouver,604 733-6494,nil,nil,nil,
Red Robin,9628 Cameron, Burnaby,604 421-7266,nil,nil,nil,
Red Robin,801 Marine, North Vancouver,604 984-4464,nil,nil,nil,
Red Robin,3000 Lougheed Hwy, Coquitlam,604 941-8650,nil,nil,nil,
Red Robin,10237 152 St, Surrey,604 930-2415,nil,nil,nil,
Red Robin,6141 200th St, Langley,604 530-4484,nil,nil,nil,
Red Robin,112-4640 Kingsway, Burnaby,604 439-7696,nil,nil,nil,
Red Robin,22701 Lougheed Hwy, Maple Ridge,604 467-6266,nil,nil,nil,
Ridia Garden,206A-555 Burrard St, Vancouver,604 689-5505,nil,nil,nil,
Rinconcito Restaurant,2062 Commercial Dr, Vancouver,604 879-2600,nil,nil,nil,
Ripple Rock Cafe,126-1050 Pender St W, Vancouver,604 568-2289,nil,nil,nil,
The River House Restaurant & Pub,5825 60 Ave, Ladner,604 946-7545,nil,nil,nil,
Riverside Cafe,12031 Mitchell Rd, Richmond,604 322-9260,nil,nil,nil,
Riz Sushi Catering,1139 W Pender St, Vancouver,604 689-7576,nil,nil,nil,
Rk Sweets & Restaurant,103-9386 120 St, Surrey,604 585-3433,nil,nil,nil,
Ro Sushi Japanese Bistro,542 W Broadway, Vancouver,604 876-9899,nil,nil,nil,
Roxy Burger,910 Granville St, Vancouver,604 646-4000,nil,nil,nil,
Royal Dinner & Dance,200-8040 Garden City, Richmond,604 273-9911,nil,nil,nil,
Royal Donair,4-12350 Harris, Pitt Meadows,604 459-3300,nil,nil,nil,
Royal Flavor Restaurant & Lounge,101-7577 King George Blvd, Surrey,604 597-6667,nil,nil,nil,
Royal Fort Szechuan Restaurant,3944 Fraser St, Vancouver,604 879-3633,nil,nil,nil,
Royal Oak Pizza Steak & Lobster House,15336 Fraser Hwy, Surrey,604 581-3330,nil,nil,nil,
